ID	WT_r1	WT_r2	WT_r3	KO_r1	KO_r2	KO_r3	KO_rescue_r1	KO_rescue_r2	KO_rescue_r3
ENSMUSG00000020871	1.74	0.25	0.51	2.34	2.34	0.51	1.3	0.25	0.51
ENSMUSG00000020872	-0.38	0.99	0.14	11.36	0.99	2.24	1.27	3.64	5.69
ENSMUSG00000020873	1669.52	1753.46	1847.45	1832.99	2067.54	2023.59	1898.81	2003.75	2064.27
ENSMUSG00000020876	954.51	1017.75	1140.99	1006.85	1045.66	1077.64	1066.93	918.97	969.34
ENSMUSG00000020877	179.72	192.97	179.08	261	301.97	289.56	271.85	268.11	262.79
ENSMUSG00000020878	3.58	2.01	2.42	19.81	28.41	3.51	0.22	-0.07	2.42
ENSMUSG00000020882	424.2	419.7	307.91	451.77	315.01	369.32	419.62	371.08	383.2
ENSMUSG00000020883	646.27	549.16	530.79	676.05	530.64	594.15	630.77	539.88	669.42
ENSMUSG00000020884	0.98	0.03	0.18	2.12	2.32	4.92	0.23	2.51	0.18
ENSMUSG00000020886	63.83	71.29	59.24	40.97	46.47	45.02	44.25	36.8	59.78
ENSMUSG00000020887	1.3	3.01	0.19	2.46	0.07	1.23	0.03	1.13	1.56
ENSMUSG00000020888	1016.43	1065.37	1125.36	744.04	694.96	863.11	762.85	875.07	810.7
ENSMUSG00000020889	1084.9	1213.51	976.2	2287.96	2127.6	2290.84	693.38	752.85	1012.2
ENSMUSG00000020890	-0.26	0.36	3.75	1.44	2.61	0.15	1.17	0.36	0.15
ENSMUSG00000020891	109.96	127.27	76.85	259.82	240.5	250.56	160.47	195.48	158.29
ENSMUSG00000020892	4.31	7.11	1.01	14.2	20.02	22.46	2.2	1.1	2.15
ENSMUSG00000020893	488.46	341.26	432.87	691.23	271.31	381.48	587.71	609.23	592.72
ENSMUSG00000020894	2455.74	1991.81	1962.17	2268.22	1808.49	1915.33	2343.45	2151.62	1981.1
ENSMUSG00000020895	137.97	172.85	175.19	229.16	338.36	255.98	93.87	75.35	77.17
ENSMUSG00000020897	119.9	176.55	133.58	110.96	139.18	121.51	367.94	183.88	245.06
