ID	LP_r1	LP_r2	LP_r3	ML_r1	ML_r2	ML_r3	MLN_r1	MLN_r2	MLN_r3
ENSMUSG00000034321	341.33	521.59	309.93	497.98	676.83	959.14	528.35	388.05	275.23
ENSMUSG00000034324	0	0.78	0.69	177.23	214.34	176.72	1.86	73.22	70.37
ENSMUSG00000034327	348.73	275.95	230.38	261.93	230.76	143.49	652.28	514.15	667.14
ENSMUSG00000034329	605.88	553.46	755.47	363.88	76.28	257.53	80.14	175.72	208.43
ENSMUSG00000039616	310.8	289.94	225.53	234.48	238.48	132.92	1628.84	362.83	489
ENSMUSG00000046580	6.48	2.33	2.77	6.27	7.72	6.04	3.73	1.63	4.45
ENSMUSG00000046585	0	0	0.69	11.76	29.93	92.14	64.3	48.81	52.55
ENSMUSG00000069223	0	4.66	0.69	7.06	0	0	0.93	2.44	0
ENSMUSG00000030247	0	20.21	0	0	17.38	0	42.86	0	29.39
ENSMUSG00000007783	46.25	41.98	53.27	101.95	78.21	24.17	83.86	203.38	236.93
ENSMUSG00000046636	9.25	3.11	2.77	2.35	4.83	6.04	0	3.25	3.56
ENSMUSG00000044982	177.6	129.04	101.7	233.7	206.62	398.01	323.35	243.24	170.13
ENSMUSG00000044986	6.48	3.11	10.38	7.84	1.93	15.1	8.39	13.02	0
ENSMUSG00000035051	440.31	488.16	443.46	1103.4	1117.1	347.41	661.6	854.2	747.3
ENSMUSG00000082840	1.85	2.33	2.08	0.78	0	0.76	0	0	0
ENSMUSG00000082844	0	0	0	5.49	4.83	0.76	4.66	0	1.78
ENSMUSG00000002668	2649.24	2745.53	3223.18	1784.9	1560.28	1078.47	1477.88	1696.19	1584.57
ENSMUSG00000032413	916.69	741.57	675.91	1467.29	1167.31	1464.39	4538.02	4738.76	5218.66
ENSMUSG00000002660	558.71	792.88	592.2	707.37	816.83	1126.05	1011.04	396.18	330.45
ENSMUSG00000002661	148	244.86	190.25	287.03	348.55	456.91	614.08	251.38	197.74
ENSMUSG00000002664	0	1.55	0.69	2.35	0	0	0	4.88	1.78
ENSMUSG00000041000	176.68	155.47	118.3	338.79	510.76	226.57	675.58	726.47	1009.17
ENSMUSG00000044678	0	14.77	8.3	10.19	15.45	35.5	1.86	7.32	9.8
ENSMUSG00000032419	0.93	0.78	0.69	0	0	4.53	0	0	1.78
ENSMUSG00000044674	40.7	54.41	63.65	23.53	29.93	25.68	18.64	22.78	84.62
ENSMUSG00000044676	14.8	0.78	11.07	25.1	0	58.15	0	15.46	63.24
ENSMUSG00000022358	100.83	209.1	315.47	185.08	58.9	239.41	405.35	375.85	359.85
ENSMUSG00000078700	999.94	799.1	624.71	411.72	764.69	324.75	208.73	106.57	76.6
ENSMUSG00000004842	1.85	0	1.38	3.14	6.76	6.04	0	0.81	0
ENSMUSG00000004843	1990.63	1788.64	1801.5	1610.8	1626.9	1120	1195.54	1509.08	1534.69
